id,date,store_nbr,family,sales,onpromotion,city,state,type_x,cluster,transactions,dcoilwtico,type_y,locale,locale_name,description,transferred,year,month,day,dayofweek,is_weekend
2717035,2017-03-09,44,GROCERY II,69.0,0,Quito,Pichincha,A,5,3560.0,48.75,,,,,,2017,3,9,3,False
1915470,2015-12-13,53,HOME CARE,247.0,1,Manta,Manabi,D,13,1026.0,35.65,,,,,,2015,12,13,6,True
2045639,2016-02-25,7,BEAUTY,1.0,0,Quito,Pichincha,D,8,1732.0,31.4,,,,,,2016,2,25,3,False
1657780,2015-07-22,23,PERSONAL CARE,110.0,0,Ambato,Tungurahua,D,9,1017.0,49.27,,,,,,2015,7,22,2,False
976051,2014-07-03,45,EGGS,359.0,0,Quito,Pichincha,A,11,3470.0,104.76,Holiday,Local,Santo Domingo,Fundacion de Santo Domingo,False,2014,7,3,3,False
1758728,2015-09-16,6,PET SUPPLIES,5.0,0,Quito,Pichincha,D,13,1649.0,47.12,,,,,,2015,9,16,2,False
1524276,2015-05-08,28,CELEBRATION,0.0,0,Guayaquil,Guayas,E,10,982.0,59.41,,,,,,2015,5,8,4,False
903187,2014-05-23,50,EGGS,82.0,0,Ambato,Tungurahua,A,14,2404.0,105.01,,,,,,2014,5,23,4,False
329588,2013-07-04,7,HOME APPLIANCES,0.0,0,Quito,Pichincha,D,8,1706.0,101.92,,,,,,2013,7,4,3,False
2017859,2016-02-10,27,DAIRY,955.0,0,Daule,Guayas,D,1,1555.0,27.54,,,,,,2016,2,10,2,False
1166577,2014-10-18,40,PLAYERS AND ELECTRONICS,6.0,0,Machala,El Oro,C,3,1332.0,82.8,,,,,,2014,10,18,5,True
965578,2014-06-27,50,SCHOOL AND OFFICE SUPPLIES,0.0,0,Ambato,Tungurahua,A,14,2455.0,106.46,,,,,,2014,6,27,4,False
1995616,2016-01-28,52,CLEANING,0.0,0,Manta,Manabi,A,11,0.0,33.21,,,,,,2016,1,28,3,False
52786,2013-01-30,4,LADIESWEAR,0.0,0,Quito,Pichincha,D,9,1536.0,97.98,,,,,,2013,1,30,2,False
642983,2013-12-28,5,FROZEN FOODS,622.81104,0,Santo Domingo,Santo Domingo de los Tsachilas,D,4,1983.0,99.94,,,,,,2013,12,28,5,True
518030,2013-10-18,43,PREPARED FOODS,69.0,0,Esmeraldas,Esmeraldas,E,10,1293.0,100.87,,,,,,2013,10,18,4,False
864317,2014-05-02,10,HARDWARE,0.0,0,Quito,Pichincha,C,15,1010.0,100.09,,,,,,2014,5,2,4,False
